State,Year,Slow Growth Estimate,Realistic Estimate,Fast Growth Estimate,Population2024,pop_share
Andaman & Nicobar Islands,2015,99,88,59,404000,0.000288621989
Andaman & Nicobar Islands,2016,109,104,76,404000,0.000288621989
Andaman & Nicobar Islands,2017,120,122,99,404000,0.000288621989
Andaman & Nicobar Islands,2018,132,144,129,404000,0.000288621989
Andaman & Nicobar Islands,2019,145,170,168,404000,0.000288621989
Andaman & Nicobar Islands,2020,160,201,218,404000,0.000288621989
Andaman & Nicobar Islands,2021,176,237,284,404000,0.000288621989
Andaman & Nicobar Islands,2022,193,280,369,404000,0.000288621989
Andaman & Nicobar Islands,2023,213,330,480,404000,0.000288621989
Andaman & Nicobar Islands,2024,234,390,623,404000,0.000288621989
Andaman & Nicobar Islands,2025,257,460,810,404000,0.000288621989
Andhra Pradesh,2015,13090,11598,7762,53340000,0.03810667547
Andhra Pradesh,2016,14399,13686,10090,53340000,0.03810667547
Andhra Pradesh,2017,15839,16150,13117,53340000,0.03810667547
Andhra Pradesh,2018,17423,19057,17053,53340000,0.03810667547
Andhra Pradesh,2019,19166,22487,22169,53340000,0.03810667547
Andhra Pradesh,2020,21082,26534,28819,53340000,0.03810667547
Andhra Pradesh,2021,23190,31310,37465,53340000,0.03810667547
Andhra Pradesh,2022,25509,36946,48704,53340000,0.03810667547
Andhra Pradesh,2023,28060,43597,63316,53340000,0.03810667547
Andhra Pradesh,2024,30866,51444,82310,53340000,0.03810667547
Andhra Pradesh,2025,33953,60704,107004,53340000,0.03810667547
Arunachal Pradesh,2015,387,343,229,1576000,0.001125911521
Arunachal Pradesh,2016,425,404,298,1576000,0.001125911521
Arunachal Pradesh,2017,468,477,388,1576000,0.001125911521
Arunachal Pradesh,2018,515,563,504,1576000,0.001125911521
Arunachal Pradesh,2019,566,664,655,1576000,0.001125911521
Arunachal Pradesh,2020,623,784,851,1576000,0.001125911521
Arunachal Pradesh,2021,685,925,1107,1576000,0.001125911521
Arunachal Pradesh,2022,754,1092,1439,1576000,0.001125911521
Arunachal Pradesh,2023,829,1288,1871,1576000,0.001125911521
Arunachal Pradesh,2024,912,1520,2432,1576000,0.001125911521
Arunachal Pradesh,2025,1003,1794,3162,1576000,0.001125911521
Assam,2015,8846,7838,5245,36047000,0.02575236841
Assam,2016,9731,9249,6819,36047000,0.02575236841
Assam,2017,10704,10914,8865,36047000,0.02575236841
Assam,2018,11775,12878,11524,36047000,0.02575236841
Assam,2019,12952,15196,14981,36047000,0.02575236841
Assam,2020,14247,17932,19476,36047000,0.02575236841
Assam,2021,15672,21159,25319,36047000,0.02575236841
Assam,2022,17239,24968,32914,36047000,0.02575236841
Assam,2023,18963,29462,42789,36047000,0.02575236841
Assam,2024,20859,34766,55625,36047000,0.02575236841
Assam,2025,22945,41024,72313,36047000,0.02575236841
Bihar,2015,31558,27961,18712,128592000,0.09186752179
Bihar,2016,34714,32994,24326,128592000,0.09186752179
Bihar,2017,38185,38933,31624,128592000,0.09186752179
Bihar,2018,42004,45941,41111,128592000,0.09186752179
Bihar,2019,46204,54211,53444,128592000,0.09186752179
Bihar,2020,50825,63969,69477,128592000,0.09186752179
Bihar,2021,55907,75483,90320,128592000,0.09186752179
Bihar,2022,61498,89070,117417,128592000,0.09186752179
Bihar,2023,67648,105103,152641,128592000,0.09186752179
Bihar,2024,74413,124021,198434,128592000,0.09186752179
Bihar,2025,81854,146345,257964,128592000,0.09186752179
Chandigarh,2015,305,270,181,1243000,0.0008880127037
Chandigarh,2016,336,319,235,1243000,0.0008880127037
Chandigarh,2017,369,376,306,1243000,0.0008880127037
Chandigarh,2018,406,444,397,1243000,0.0008880127037
Chandigarh,2019,447,524,517,1243000,0.0008880127037
Chandigarh,2020,491,618,672,1243000,0.0008880127037
Chandigarh,2021,540,730,873,1243000,0.0008880127037
Chandigarh,2022,594,861,1135,1243000,0.0008880127037
Chandigarh,2023,654,1016,1475,1243000,0.0008880127037
Chandigarh,2024,719,1199,1918,1243000,0.0008880127037
Chandigarh,2025,791,1415,2494,1243000,0.0008880127037
Chhattisgarh,2015,7491,6637,4442,30524000,0.02180667721
Chhattisgarh,2016,8240,7832,5774,30524000,0.02180667721
Chhattisgarh,2017,9064,9242,7507,30524000,0.02180667721
Chhattisgarh,2018,9971,10905,9759,30524000,0.02180667721
Chhattisgarh,2019,10968,12868,12686,30524000,0.02180667721
Chhattisgarh,2020,12064,15184,16492,30524000,0.02180667721
Chhattisgarh,2021,13271,17917,21439,30524000,0.02180667721
Chhattisgarh,2022,14598,21143,27871,30524000,0.02180667721
Chhattisgarh,2023,16058,24948,36233,30524000,0.02180667721
Chhattisgarh,2024,17663,29439,47102,30524000,0.02180667721
Chhattisgarh,2025,19430,34738,61233,30524000,0.02180667721
Dadra & Nagar Haveli and Daman & Diu,2015,161,143,96,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2016,178,169,124,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2017,195,199,162,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2018,215,235,210,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2019,236,277,273,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2020,260,327,355,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2021,286,386,462,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2022,314,455,600,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2023,346,537,781,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2024,381,634,1015,657587,0.0004697872967
Dadra & Nagar Haveli and Daman & Diu,2025,419,748,1319,657587,0.0004697872967
Delhi,2015,5338,4730,3165,21752000,0.01553986511
Delhi,2016,5872,5581,4115,21752000,0.01553986511
Delhi,2017,6459,6586,5349,21752000,0.01553986511
Delhi,2018,7105,7771,6954,21752000,0.01553986511
Delhi,2019,7816,9170,9040,21752000,0.01553986511
Delhi,2020,8597,10821,11752,21752000,0.01553986511
Delhi,2021,9457,12768,15278,21752000,0.01553986511
Delhi,2022,10403,15067,19862,21752000,0.01553986511
Delhi,2023,11443,17779,25820,21752000,0.01553986511
Delhi,2024,12587,20979,33566,21752000,0.01553986511
Delhi,2025,13846,24755,43636,21752000,0.01553986511
Goa,2015,388,344,230,1583000,0.001130912397
Goa,2016,427,406,299,1583000,0.001130912397
Goa,2017,470,479,389,1583000,0.001130912397
Goa,2018,517,566,506,1583000,0.001130912397
Goa,2019,569,667,658,1583000,0.001130912397
Goa,2020,626,787,855,1583000,0.001130912397
Goa,2021,688,929,1112,1583000,0.001130912397
Goa,2022,757,1096,1445,1583000,0.001130912397
Goa,2023,833,1294,1879,1583000,0.001130912397
Goa,2024,916,1527,2443,1583000,0.001130912397
Goa,2025,1008,1802,3176,1583000,0.001130912397
Gujarat,2015,17760,15736,10531,72367000,0.05169977098
Gujarat,2016,19536,18568,13690,72367000,0.05169977098
Gujarat,2017,21489,21910,17797,72367000,0.05169977098
Gujarat,2018,23638,25854,23136,72367000,0.05169977098
Gujarat,2019,26002,30508,30076,72367000,0.05169977098
